annee;UAI;libelle;region;dont_apprentis_eple;taux_poursuite_etudes;taux_emploi_6_mois;taux_emploi_6_mois_attendu;va_emploi_6_mois;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;Part en poursuite d'études;Part en emploi 6 mois après la sortie;Part des autres situations
cumul 2018-2019;0590257J;Lycée professionnel Ile de Flandre;HAUTS-DE-FRANCE;dont apprentis;;;;;;;;;;
cumul 2018-2019;0590264S;Lycée professionnel Alfred Kastler - Lycée des Métiers de la Conduite et de la Maintenance des systèmes;HAUTS-DE-FRANCE;ensemble;59.0;27.0;24.0;3.0;31.0;28.0;38.0;;;
cumul 2018-2019;0590265T;Lycée Professionnel Edmond Labbé;HAUTS-DE-FRANCE;ensemble;35.0;58.0;56.0;2.0;64.0;63.0;63.0;;;
cumul 2018-2019;0590265T;Lycée Professionnel Edmond Labbé;HAUTS-DE-FRANCE;dont apprentis;14.0;74.0;74.0;0.0;79.0;78.0;79.0;;;
cumul 2018-2019;0590266U;Lycée professionnel César Baggio - Lycée des Métiers des Sciences de l'Ingénieur et du Développement Durable;HAUTS-DE-FRANCE;dont élèves en voie pro sco;64.0;28.0;34.0;-5.0;34.0;35.0;41.0;;;
cumul 2018-2019;0590266U;Lycée professionnel César Baggio - Lycée des Métiers des Sciences de l'Ingénieur et du Développement Durable;HAUTS-DE-FRANCE;dont apprentis;15.0;82.0;79.0;3.0;77.0;84.0;82.0;;;
cumul 2018-2019;0592832H;Lycée professionnel Vertes Feuilles - Lycée des métiers de la sécurité et de la prévention;HAUTS-DE-FRANCE;ensemble;44.0;29.0;34.0;-5.0;45.0;49.0;45.0;;;
cumul 2018-2019;0592832H;Lycée professionnel Vertes Feuilles - Lycée des métiers de la sécurité et de la prévention;HAUTS-DE-FRANCE;dont élèves en voie pro sco;47.0;26.0;27.0;-1.0;43.0;45.0;42.0;;;
cumul 2018-2019;0592850C;Lycée professionnel Antoine de Saint-Exupéry;HAUTS-DE-FRANCE;ensemble;30.0;45.0;38.0;7.0;47.0;49.0;55.0;;;
cumul 2018-2019;0592916Z;Lycée général et technologique privé Notre Dame de Grâce;HAUTS-DE-FRANCE;ensemble;20.0;34.0;46.0;-12.0;24.0;46.0;59.0;;;
cumul 2018-2019;0593020M;Lycée professionnel privé de la Chambre des Métiers et de l'Artisanat (CMA) Hauts de France;HAUTS-DE-FRANCE;ensemble;53.0;;;;;;;;;
cumul 2018-2019;0593034C;Lycée polyvalent privé Théophile Legrand;HAUTS-DE-FRANCE;ensemble;48.0;33.0;38.0;-4.0;38.0;42.0;53.0;;;
cumul 2018-2019;0593079B;Lycée professionnel privé Sainte Bernadette;HAUTS-DE-FRANCE;ensemble;47.0;14.0;22.0;-8.0;28.0;33.0;39.0;;;
cumul 2018-2019;0593495D;Lycée Professionnel Paul Langevin;HAUTS-DE-FRANCE;dont élèves en voie pro sco;47.0;37.0;33.0;4.0;35.0;44.0;46.0;;;
cumul 2018-2019;0594380R;Etablissement régional d'enseignement adapté déficients intellectuels légers handicapés sociaux Colette Magny;HAUTS-DE-FRANCE;ensemble;54.0;9.0;15.0;-6.0;9.0;22.0;35.0;;;
cumul 2018-2019;0594391C;Lycée technologique Ecole Sup Arts Appliqués Textile;HAUTS-DE-FRANCE;ensemble;76.0;35.0;45.0;-9.0;42.0;55.0;61.0;;;
cumul 2018-2019;0594400M;Lycée professionnel Automobile et Transports - Lycée des Métiers du Transport et de la Logistique du Littoral;HAUTS-DE-FRANCE;ensemble;31.0;51.0;43.0;9.0;56.0;54.0;63.0;;;
